epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1215.18,1.0943,3.61391,1.41738,0.41429,0.37878,0.37484,0.26022,0.97683,2.27652,1.35105,0.000206349,0.000206349,0.000206349
2,1254.97,1.10619,2.48013,1.37405,0.52888,0.63123,0.60934,0.42631,1.04896,1.85062,1.39171,0.000406472,0.000406472,0.000406472
3,1293.77,1.0822,2.13456,1.34409,0.74588,0.63354,0.75114,0.50928,1.06175,1.41069,1.40675,0.000598344,0.000598344,0.000598344
4,1331.5,1.10603,1.91444,1.33311,0.73726,0.66333,0.75693,0.49937,1.13004,1.42945,1.46716,0.000587875,0.000587875,0.000587875
5,1370.27,1.05854,1.73703,1.29703,0.78928,0.7495,0.85342,0.60085,0.99639,1.25855,1.30332,0.0005755,0.0005755,0.0005755
6,1409.7,1.03513,1.54669,1.26681,0.82246,0.76895,0.87882,0.62255,1.02231,1.07835,1.31548,0.000563125,0.000563125,0.000563125
7,1449.13,1.0135,1.39859,1.24254,0.85668,0.7581,0.89234,0.63696,0.99869,1.04239,1.28877,0.00055075,0.00055075,0.00055075
8,1488.21,1.01283,1.36955,1.2466,0.84291,0.83036,0.9089,0.66272,0.96949,0.86009,1.26201,0.000538375,0.000538375,0.000538375
9,1526.27,0.97885,1.2731,1.22682,0.89754,0.86267,0.93247,0.691,0.95664,0.7704,1.24093,0.000526,0.000526,0.000526
10,1565.4,0.98062,1.18818,1.2281,0.90017,0.89571,0.94179,0.69834,0.95683,0.77098,1.2333,0.000513625,0.000513625,0.000513625
11,1604.88,0.9526,1.11469,1.19176,0.88117,0.87108,0.93173,0.67631,0.97601,0.7992,1.28215,0.00050125,0.00050125,0.00050125
12,1643.87,0.94941,1.08401,1.19532,0.83568,0.82944,0.89257,0.65201,0.96072,0.88341,1.24611,0.000488875,0.000488875,0.000488875
13,1681.59,0.93098,1.01983,1.18173,0.91948,0.83761,0.93631,0.70155,0.90769,0.7278,1.21973,0.0004765,0.0004765,0.0004765
14,1720.85,0.93416,0.9928,1.18535,0.89642,0.92676,0.96464,0.71526,0.93496,0.65995,1.22217,0.000464125,0.000464125,0.000464125
15,1759.83,0.89507,0.91596,1.16585,0.94095,0.87638,0.96168,0.72361,0.88749,0.69249,1.19627,0.00045175,0.00045175,0.00045175
16,1799.06,0.90717,0.91204,1.16716,0.91736,0.92781,0.96376,0.72974,0.9266,0.60171,1.22546,0.000439375,0.000439375,0.000439375
17,1837.68,0.90138,0.90294,1.16686,0.92664,0.91834,0.97035,0.7333,0.89297,0.57384,1.18802,0.000427,0.000427,0.000427
18,1875,0.87669,0.85046,1.14555,0.90325,0.9203,0.94977,0.71505,0.93083,0.59557,1.20783,0.000414625,0.000414625,0.000414625
19,1913.72,0.86457,0.80243,1.14262,0.95541,0.89805,0.96775,0.73162,0.90416,0.59237,1.19298,0.00040225,0.00040225,0.00040225
20,1953,0.85876,0.81591,1.14002,0.91552,0.92429,0.96458,0.72861,0.88933,0.58102,1.17514,0.000389875,0.000389875,0.000389875
21,1991.94,0.84975,0.78213,1.13034,0.94876,0.91607,0.96773,0.74362,0.86485,0.53437,1.18211,0.0003775,0.0003775,0.0003775
22,2029.8,0.84536,0.73986,1.12885,0.95806,0.90369,0.97035,0.74152,0.89451,0.54251,1.19466,0.000365125,0.000365125,0.000365125
23,2067.87,0.83556,0.74541,1.12187,0.89441,0.93207,0.96644,0.74079,0.88191,0.53482,1.18822,0.00035275,0.00035275,0.00035275
24,2106.41,0.8394,0.71703,1.11791,0.94951,0.94093,0.97281,0.74292,0.86634,0.51761,1.17855,0.000340375,0.000340375,0.000340375
25,2145.37,0.82112,0.71937,1.11101,0.95173,0.95188,0.98333,0.75539,0.84066,0.47294,1.16603,0.000328,0.000328,0.000328
26,2182.96,0.8096,0.69419,1.10373,0.96618,0.95126,0.97989,0.76083,0.85558,0.47478,1.15849,0.000315625,0.000315625,0.000315625
27,2222.05,0.80325,0.66814,1.11018,0.95334,0.93821,0.97959,0.75007,0.86283,0.47532,1.17653,0.00030325,0.00030325,0.00030325
28,2261.48,0.78836,0.66371,1.09462,0.94788,0.9425,0.97283,0.74001,0.85419,0.48899,1.16688,0.000290875,0.000290875,0.000290875
29,2300.58,0.79626,0.6634,1.10526,0.95212,0.93702,0.9735,0.75084,0.86141,0.48183,1.16582,0.0002785,0.0002785,0.0002785
30,2339.98,0.77582,0.62216,1.08415,0.96451,0.93546,0.97874,0.76345,0.84942,0.46424,1.16069,0.000266125,0.000266125,0.000266125
31,2377.78,0.77345,0.61456,1.081,0.95395,0.93293,0.9771,0.75557,0.87424,0.47913,1.17295,0.00025375,0.00025375,0.00025375
32,2416.49,0.76708,0.5953,1.08749,0.94368,0.93807,0.97455,0.75225,0.86935,0.46832,1.17676,0.000241375,0.000241375,0.000241375
33,2454.8,0.75978,0.59306,1.08255,0.96837,0.95137,0.9828,0.76384,0.8679,0.42782,1.15814,0.000229,0.000229,0.000229
34,2492.33,0.7412,0.5795,1.07662,0.97862,0.93338,0.98376,0.76553,0.84994,0.43829,1.15785,0.000216625,0.000216625,0.000216625
35,2530.15,0.74751,0.57813,1.07462,0.95195,0.97042,0.98526,0.7668,0.87041,0.41705,1.17102,0.00020425,0.00020425,0.00020425
